Rocky Mountain Elk,Cervus elophus,mammal,Mammal,,https://en.wikipedia.org/wiki/Rocky_Mountain_elk,https://upload.wikimedia.org/wikipedia/commons/9/9d/Rocky-mountain-elk.jpg
Mule Deer,Odocoileus hemionus,mammal,Mammal,,https://en.wikipedia.org/wiki/Mule_deer,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Mule_buck_doe_elk_creek_r_myatt_%285489811074%29.jpg/320px-Mule_buck_doe_elk_creek_r_myatt_%285489811074%29.jpg
White-tailed Deer,Odocoileus virginianus,mammal,Mammal,,https://en.wikipedia.org/wiki/White-tailed_deer,https://upload.wikimedia.org/wikipedia/commons/f/f5/Whitetail_doe.jpg
Rocky Mountain Bighorn Sheep,Ovis canadensis,mammal,Mammal,,https://en.wikipedia.org/wiki/Bighorn_sheep,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/New_Mexico_Bighorn_Sheep.JPG/800px-New_Mexico_Bighorn_Sheep.JPG
Shiras Moose,Alces alces,mammal,Mammal,,https://en.wikipedia.org/wiki/Moose,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Moose_superior.jpg/320px-Moose_superior.jpg
Mountain Goat,Oreamnos americanus,mammal,Mammal,,https://en.wikipedia.org/wiki/Mountain_goat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mountain_Goat_Mount_Massive.JPG/440px-Mountain_Goat_Mount_Massive.JPG
Gray Wolf,Canis lupus,mammal,Mammal,,https://en.wikipedia.org/wiki/Gray_wolf,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Canis_lupus_signatus_-_01.jpg/440px-Canis_lupus_signatus_-_01.jpg
Coyote,Canis latrans,mammal,Mammal,,https://en.wikipedia.org/wiki/Coyote,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Howl_%28cropped%29.jpg/440px-Howl_%28cropped%29.jpg
Bobcat,Lynx rufus,mammal,Mammal,,https://en.wikipedia.org/wiki/Bobcat,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bobcat2.jpg/800px-Bobcat2.jpg
American Black Bear,Ursus americanus,mammal,Mammal,,https://en.wikipedia.org/wiki/American_black_bear,https://upload.wikimedia.org/wikipedia/commons/0/08/01_Schwarzb%C3%A4r.jpg
Mountain Lion,Puma concolor,mammal,Mammal,,https://en.wikipedia.org/wiki/Cougar,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Cougar_sitting.jpg/340px-Cougar_sitting.jpg
Beaver,Castor canadensis,mammal,Mammal,,https://en.wikipedia.org/wiki/North_American_beaver,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/American_Beaver.jpg/320px-American_Beaver.jpg
River Otter,Lutra canadensis,mammal,Mammal,,https://en.wikipedia.org/wiki/North_American_river_otter,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/LutraCanadensis_fullres.jpg/440px-LutraCanadensis_fullres.jpg
